sampleID	treatment	site
FALLOPIA_CMM_114	marsh	CMM
FALLOPIA_RPB_233	beach	RPB
FALLOPIA_RHBH_349	marsh	RHBH
FALLOPIA_CBH_423	marsh	CBH
FALLOPIA_PJB_457	beach	PJB
FALLOPIA_ST_69	road	ST
FALLOPIA_RPB_205	beach	RPB
FALLOPIA_RHBH_341	marsh	RHBH
FALLOPIA_CBH_421	marsh	CBH
FALLOPIA_PJB_455	beach	PJB
FALLOPIA_MSH_493	beach	MSH
FALLOPIA_ST_67	road	ST
FALLOPIA_PJB_181	beach	PJB
FALLOPIA_RHC_333	road	RHC
FALLOPIA_HBCT_407	beach	HBCT
FALLOPIA_WH_449	marsh	WH
FALLOPIA_HP_499	beach	HP
FALLOPIA_ST_62	road	ST
FALLOPIA_PJB_179	beach	PJB
FALLOPIA_RHC_323	road	RHC
FALLOPIA_HBCT_405	beach	HBCT
FALLOPIA_WH_447	marsh	WH
FALLOPIA_MSH_489	beach	MSH
FALLOPIA_ST_60	road	ST
FALLOPIA_CBH_136	marsh	CBH
FALLOPIA_RHC_309	road	RHC
FALLOPIA_HBCT_403	beach	HBCT
FALLOPIA_WH_443	marsh	WH
FALLOPIA_CMR_481	road	CMR
FALLOPIA_CMR_47	road	CMR
FALLOPIA_CBH_123	marsh	CBH
FALLOPIA_RHC_305	road	RHC
FALLOPIA_OLCT_397	marsh	OLCT
FALLOPIA_CBH_441	marsh	CBH
FALLOPIA_CMR_479	road	CMR
FALLOPIA_HP_11	beach	HP
FALLOPIA_CMM_118	marsh	CMM
FALLOPIA_WH_294	marsh	WH
FALLOPIA_RHBH_367	marsh	RHBH
FALLOPIA_CBH_437	marsh	CBH
FALLOPIA_PJB_461	beach	PJB
FALLOPIA_HP_7	beach	HP
FALLOPIA_CMM_116	marsh	CMM
FALLOPIA_CMR_265	road	CMR
FALLOPIA_RHBH_363	marsh	RHBH
FALLOPIA_CBH_433	marsh	CBH
FALLOPIA_PJB_459	beach	PJB
